"time (m)",V,Ah
11.31,44.2,0.26595874741200815
11.36,44.19,0.2671023809523808
11.43,44.18,0.268703105590062
11.48,44.17,0.269846221532091
11.55,44.16,0.27144622153209097
11.61,44.15,0.2728173395445133
11.69,44.14,0.27464508281573485
11.73,44.13,0.27555874741200814
11.83,44.12,0.2778423913043477
11.89,44.11,0.2792122670807452
11.95,44.1,0.2805818322981365
12.01,44.09,0.2819510869565216
12.09,44.08,0.28377634575569344
12.14,44.07,0.284916873706004
12.2,44.06,0.2862851966873704
12.29,44.05,0.2883372153209108
12.35,44.04,0.28970491718426483
12.4,44.03,0.290844409937888
12.49,44.02,0.2928950310559004
12.56,44.01,0.29448959627329174
12.64,44,0.296311542443064
12.69,43.99,0.2974499999999998
12.79,43.98,0.29972639751552776
12.83,43.97,0.3006367494824015
12.89,43.96,0.30200196687370584
12.99,43.95,0.3042768115942027
13.05,43.94,0.30564140786749466
13.13,43.93,0.3074604554865423
13.16,43.92,0.30814244306418204
13.29,43.91,0.3110970496894408
13.33,43.9,0.3120059523809522
13.42,43.89,0.3140505175983435
13.5,43.88,0.3158674948240164
13.58,43.87,0.3176840579710143
13.62,43.86,0.31859213250517576
13.72,43.85,0.32086180124223584
13.81,43.84,0.32290403726708056
13.86,43.83,0.3240383540372669
13.96,43.82,0.3263064699792959
14.02,43.81,0.32766702898550704
14.11,43.8,0.3297074016563145
14.19,43.79,0.33152065217391286
14.32,43.78,0.3344665113871634
14.35,43.77,0.33514616977225653
14.4,43.76,0.33627867494824
14.51,43.75,0.33876961697722546
14.58,43.74,0.3403543995859211
14.71,43.73,0.3432968944099377
14.75,43.72,0.3442020703933745
14.88,43.71,0.3471432194616975
14.93,43.7,0.34827417184264986
15.04,43.69,0.35076169772256705
15.1,43.68,0.35211821946169747
15.14,43.67,0.35302236024844696
15.23,43.66,0.355056211180124
15.36,43.65,0.3579933229813662
15.45,43.64,0.3600262422360246
15.51,43.63,0.36138121118012395
15.62,43.62,0.36386475155279474
15.7,43.61,0.36567054865424403
15.81,43.6,0.3681529503105588
15.92,43.59,0.3706347826086954
15.97,43.58,0.3717626293995857
16.06,43.57,0.3737922877846788
16.15,43.56,0.37582148033126267
16.25,43.55,0.3780756211180122
16.37,43.54,0.38077996894409916
16.46,43.53,0.38280776397515504
16.54,43.52,0.38460983436852975
16.65,43.51,0.38708711180124195
16.73,43.5,0.38888835403726685
16.83,43.49,0.3911393892339542
16.96,43.48,0.39406506211180103
17.03,43.47,0.395640062111801
17.16,43.46,0.3985643892339542
17.27,43.45,0.40103825051759806
17.4,43.44,0.4039612318840577
17.5,43.43,0.406209161490683
17.54,43.42,0.40710812629399556
17.68,43.41,0.4102537784679086
17.78,43.4,0.41250015527950284
17.94,43.39,0.41609353002070365
17.98,43.38,0.41699166666666637
18.07,43.37,0.4190120082815732
18.18,43.36,0.4214807453416146
18.3,43.35,0.42417329192546555
18.4,43.34,0.4264165631469976
18.48,43.33,0.42821076604554836
18.61,43.32,0.4311256728778465
18.76,43.31,0.4344882505175981
18.85,43.3,0.4365053312629397
18.95,43.29,0.43874601449275336
19.06,43.28,0.4412101966873703
19.21,43.27,0.44456966873705983
19.36,43.26,0.4479283643892337
19.43,43.25,0.449495393374741
19.55,43.24,0.4521811076604553
19.71,43.23,0.45576123188405776
19.78,43.22,0.4573271739130433
19.93,43.21,0.4606819875776395
20.08,43.2,0.46403602484472023
20.21,43.19,0.46694218426501016
20.31,43.18,0.46917717391304326
20.46,43.17,0.4725288819875775
20.58,43.16,0.4752096273291923
20.67,43.15,0.47721972049689426
20.87,43.14,0.481685559006211
20.99,43.13,0.4843644409937886
21.19,43.12,0.4888282091097307
21.24,43.11,0.4899438923395443
21.45,43.1,0.4946286749482399
21.57,43.09,0.49730507246376787
21.66,43.08,0.4993119047619045
21.82,43.07,0.5028787784679086
21.96,43.06,0.5059990683229811
22.08,43.05,0.5086729813664593
22.24,43.04,0.5122373706004137
22.4,43.03,0.5158009316770183
22.56,43.02,0.519363664596273
22.74,43.01,0.5233708074534159
22.84,43,0.5255964803312627
22.99,42.99,0.5289342132505174
23.19,42.98,0.5333834886128362
23.33,42.97,0.5364972567287782
23.53,42.96,0.5409444616977224
23.64,42.95,0.5433898550724635
23.81,42.94,0.5471682194616975
24.05,42.93,0.5525011387163559
24.24,42.92,0.5567220496894407
24.37,42.91,0.5596093685300205
24.47,42.9,0.5618298654244304
24.69,42.89,0.5667138198757762
24.85,42.88,0.5702649585921323
25.09,42.87,0.5755904244306416
25.27,42.86,0.5795835921325049
25.53,42.85,0.5853501552795028
25.68,42.84,0.5886762422360245
25.98,42.83,0.595326863354037
26.06,42.82,0.5970999482401653
26.22,42.81,0.6006452898550722
26.45,42.8,0.6057405279503103
26.63,42.79,0.6097271739130432
26.89,42.78,0.6154843167701861
27.09,42.77,0.6199118530020702
27.3,42.76,0.6245596790890268
27.51,42.75,0.6292064182194615
27.68,42.74,0.6329671842650102
27.93,42.73,0.6384964285714284
28.17,42.72,0.6438032608695651
28.44,42.71,0.6497720496894408
28.61,42.7,0.6535292960662523
28.83,42.69,0.6583904761904759
29.1,42.68,0.6643550724637679
29.39,42.67,0.6707599896480329
29.59,42.66,0.6751761387163558
29.75,42.65,0.6787082298136643
30.07,42.64,0.6857707556935815
30.21,42.63,0.6888598861283641
30.57,42.62,0.6968015010351964
30.82,42.61,0.7023152173913041
31.16,42.6,0.7098121118012419
31.42,42.59,0.7155436853002067
31.66,42.58,0.7208331262939955
31.94,42.57,0.7270026915113869
32.22,42.56,0.7331708074534158
32.61,42.55,0.7417600931677015
32.72,42.54,0.7441821428571425
33.13,42.53,0.7532076604554863
33.41,42.52,0.7593699792960659
33.81,42.51,0.7681712215320908
34.03,42.5,0.7730107660455484
34.35,42.49,0.7800484472049687
34.65,42.48,0.786644720496894
34.93,42.47,0.7927997929606622
35.36,42.46,0.8022499999999997
35.71,42.45,0.8099402173913041
36.15,42.44,0.8196056418219458
36.28,42.43,0.8224606625258797
36.9,42.42,0.8360737060041405
37.1,42.41,0.8404639751552794
37.48,42.4,0.8488035196687368
37.87,42.39,0.8573605072463766
38.15,42.38,0.8635025362318839
38.68,42.37,0.8751257763975154
39.03,42.36,0.8827996894409937
39.51,42.35,0.8933214285714285
39.79,42.34,0.8994576604554865
40.38,42.33,0.9123845238095238
40.56,42.32,0.916327380952381
41.07,42.31,0.9274961697722567
41.74,42.3,0.9421654244306418
42.03,42.29,0.9485133022774327
42.57,42.28,0.9603306935817805
43.04,42.27,0.9706137681159419
43.6,42.26,0.9828630434782608
43.94,42.25,0.9902983436853001
44.58,42.24,1.004290890269151
45,42.23,1.0134713250517597
45.48,42.22,1.0239607660455485
45.9,42.21,1.0331368530020704
46.34,42.2,1.042747619047619
47.13,42.19,1.0599992236024844
47.63,42.18,1.0709153726708074
48.2,42.17,1.0833568322981366
48.51,42.16,1.090121635610766
49.16,42.15,1.104302536231884
49.79,42.14,1.11804384057971
50.18,42.13,1.1265483436853
50.98,42.12,1.14398933747412
51.44,42.11,1.1540155279503104
52.21,42.1,1.1707945134575568
52.76,42.09,1.1827766563146995
53.35,42.08,1.1956271739130433
53.7,42.07,1.2032485507246375
54.68,42.06,1.2245833333333331
55.05,42.05,1.2326363871635608
55.74,42.04,1.2476506728778467
56.45,42.03,1.2630964803312628
56.91,42.02,1.2731012422360246
57.87,42.01,1.2939757763975153
58.24,42,1.3020192546583849
58.99,41.99,1.3183197204968942
59.6,41.98,1.3315742753623185
60.21,41.97,1.3448256728778465
61.08,41.96,1.3637207039337471
61.59,41.95,1.3747944616977223
62.31,41.94,1.3904242753623186
62.92,41.93,1.4036630434782607
63.71,41.92,1.420804244306418
64.34,41.91,1.4344705486542442
65.18,41.9,1.4526879399585921
65.99,41.89,1.4702505175983434
66.28,41.88,1.4765368530020702
67.32,41.87,1.4990755693581777
67.9,41.86,1.5116422360248445
68.79,41.85,1.530920962732919
69.31,41.84,1.5421822463768113
70.22,41.83,1.5618847826086952
70.93,41.82,1.577253416149068
71.8,41.81,1.5960809006211176
72.33,41.8,1.6075477743271218
72.89,41.79,1.6196608178053826
73.71,41.78,1.6373935300207034
74.35,41.77,1.651230383022774
75.34,41.76,1.6726291407867493
75.78,41.75,1.682137422360248
76.71,41.74,1.7022296583850927
77.41,41.73,1.717349223602484
78.14,41.72,1.7331129917184263
78.62,41.71,1.743475724637681
79.34,41.7,1.7590160973084885
80.01,41.69,1.7734738095238094
80.62,41.68,1.7866336438923394
81.51,41.67,1.8058294513457556
82.21,41.66,1.8209236542443061
82.86,41.65,1.8349363354037265
83.54,41.64,1.8495922360248447
83.97,41.63,1.8588577122153207
84.97,41.62,1.8804001552795029
85.61,41.61,1.8941840062111799
86.28,41.6,1.9086105072463766
86.95,41.59,1.9230335403726706
87.58,41.58,1.9365922360248444
88.11,41.57,1.9479960144927533
88.69,41.56,1.9604726190476187
89.54,41.55,1.9787528985507246
90.06,41.54,1.989933436853002
90.8,41.53,2.005840372670807
91.3,41.52,2.016585714285714
92.02,41.51,2.0320552795031053
92.46,41.5,2.041506625258799
93.08,41.49,2.054821221532091
93.74,41.48,2.0689914078674945
94.49,41.47,2.0850900103519665
95.15,41.46,2.099253364389234
95.6,41.45,2.108907867494824
96.1,41.44,2.1196325051759835
96.95,41.43,2.1378599896480335
97.37,41.42,2.1468643374741205
97.84,41.41,2.1569381987577643
98.67,41.4,2.1747239130434783
99.24,41.39,2.186935248447205
99.94,41.38,2.2019280020703937
100.24,41.37,2.2083519151138717
100.79,41.36,2.220126242236025
101.34,41.35,2.231897722567288
102,41.34,2.246020082815735
102.44,41.33,2.255432712215321
102.99,41.32,2.2671956521739127
103.74,41.31,2.2832321428571425
104.13,41.3,2.2915690993788815
104.49,41.29,2.2992628881987573
105.08,41.28,2.3118690993788817
105.5,41.27,2.3208408385093167
106.04,41.26,2.3323731366459626
106.38,41.25,2.3396324534161486
107.1,41.24,2.3550013975155273
107.54,41.23,2.3643912525879913
108.17,41.22,2.377832556935817
108.58,41.21,2.386577950310558
109,41.2,2.3955344720496887
109.46,41.19,2.4053416149068316
109.78,41.18,2.412162318840579
110.42,41.17,2.4258004140786746
110.77,41.16,2.433256935817805
111.37,41.15,2.4460364389233953
111.7,41.14,2.4530634575569357
112.3,41.13,2.4658367494824014
112.67,41.12,2.473711697722567
112.99,41.11,2.480520807453416
113.62,41.1,2.4939229813664596
113.83,41.09,2.4983892857142855
114.51,41.08,2.5128480848861283
114.82,41.07,2.5194379917184264
115.35,41.06,2.5307018633540372
115.69,41.05,2.537925983436853
116.05,41.04,2.545573188405797
116.56,41.03,2.556404089026915
116.82,41.02,2.561924378881987
117.43,41.01,2.574872670807453
117.77,41,2.582087991718426
118.15,40.99,2.590150207039337
118.58,40.98,2.599271014492753
119.08,40.97,2.6098740165631464
119.38,40.96,2.6162342650103514
119.93,40.95,2.627891873706004
120.12,40.94,2.6319180641821944
120.58,40.93,2.6416633022774323
120.91,40.92,2.6486527432712212
121.27,40.91,2.656275724637681
121.74,40.9,2.6662255175983436
121.93,40.89,2.6702467908902694
122.51,40.88,2.682519254658385
122.78,40.87,2.688230900621118
123.01,40.86,2.693095186335404
123.59,40.85,2.70535864389234
123.88,40.84,2.711488871635611
124.37,40.83,2.7218443064182196
124.59,40.82,2.726492546583851
125.11,40.81,2.7374766045548653
125.27,40.8,2.740855486542443
125.76,40.79,2.7512007763975155
126.04,40.78,2.7571109213250518
126.39,40.77,2.764496790890269
126.81,40.76,2.7733576604554866
127.1,40.75,2.7794743788819876
127.41,40.74,2.786011335403727
127.71,40.73,2.7923358695652176
128.04,40.72,2.799291149068323
128.39,40.71,2.806666149068323
128.8,40.7,2.8153033126294
129,40.69,2.8195155279503106
129.31,40.68,2.8260428571428573
129.71,40.67,2.83446314699793
130.03,40.66,2.841197722567288
130.42,40.65,2.8494034679089024
130.71,40.64,2.8555036749482405
130.99,40.63,2.861392080745342
131.32,40.62,2.8683302795031054
131.71,40.61,2.876527950310559
131.95,40.6,2.8815714285714282
132.25,40.59,2.8878742236024846
132.61,40.58,2.8954357142857146
132.83,40.57,2.9000554865424433
133.16,40.56,2.906983436853002
133.4,40.55,2.912020703933748
133.77,40.54,2.9197845755693588
133.95,40.53,2.92356066252588
134.42,40.52,2.9334180124223606
134.64,40.51,2.9380309523809527
134.95,40.5,2.944529399585922
135.29,40.49,2.9516549689441
135.55,40.48,2.9571025879917197
